ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity,Mom2,Mom3,MomH2,MomH3,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Corralation,Intensity_Max,Intensity_Mean,Intesinty_Min,Shannon_Entropy,quartiles_25,quartiles_50,quartiles_75
dm_299_a_0,2,1584,352,21.17026971360491,49.24428900898052,0.820852604765788,178.91778489984128,0.5082891616472763,0.3717258395749045,2.6901546611437412,0.3640124095139607,44.584000699981786,25.46371012722867,0.7557381087307959,1.4505092757399454,0.11323539018232413,1048414.0,18870438.0,8.928671395136921e-05,7.955763255946728e-07,1891.870860927152,28.758278145695368,0.10750711157911262,0.004583132318757949,0.06769883543132739,0.6912939468420162,255.0,191.96022727272728,9.0,2.226183827989359,144.75,205.0,247.0
dm_299_a_1,2,1920,437,23.58825303088947,50.0,0.8193517079410567,268.9238815542512,0.6153864566458838,0.2755600655641662,3.628972862786399,0.34820717131474105,48.31819908491681,27.70039743748437,0.7571599444107677,1.2284584651233248,0.11637360707842358,1989503.0,67217873.0,0.0005650073919336569,1.4278127496177743e-05,2709.905913978495,36.88978494623656,0.049704644243218486,0.0028182448838015963,0.05308714424228898,0.7270979162258547,255.0,143.37986270022884,1.0,1.8580185191090348,86.0,127.0,214.0
dm_299_a_10,2,2600,978,26.844991754889815,60.207972893961475,0.5126706319610438,378.1787155501902,0.6681602748236576,0.2230057520824376,4.4841892671465,0.29448491155046824,54.27515106191575,46.59985019946856,0.9265988137176904,1.4370479401441556,0.14986227014361575,1773757.0,51689323.0,0.00017603217989978524,2.0724459779557226e-06,3184.6926713947987,42.853427895981085,0.03710881726515525,0.00238642142972911,0.04885101257629273,0.5497865007335834,255.0,151.42579505300353,6.0,2.3262650846391284,103.0,146.5,201.0
dm_299_a_11,2,1184,346,20.98906578384008,43.93176527297759,0.6940832645714636,209.12489168102786,0.604407201390254,0.3153096426837599,3.171485627551679,0.3914027149321267,38.18662709742906,27.490351592245773,0.8484661040338808,1.3211432915203891,0.11579755747910588,1400198.0,34660400.0,0.00017025039831331773,1.8397638136159222e-06,3674.8349834983496,44.504950495049506,0.05618046735367084,0.0034310361729242233,0.058575047357421944,0.5688435263928029,255.0,170.58959537572255,2.0,2.654168500045003,120.0,169.5,236.75
dm_299_a_12,2,2451,542,25.977239243415305,67.11929677819934,0.8037478605266661,316.79393923934,0.597724413659132,0.25761194852279407,3.8818075238133525,0.29168959823885526,56.3378097837296,33.51931027572632,0.7713430259616565,1.4119228093257128,0.12013483857039113,2494310.0,81057464.0,0.00019453912720785498,3.152021505504396e-06,3058.12925170068,39.94784580498866,0.06810874493815629,0.002833181647564544,0.05322763988347167,0.6863844525295987,255.0,163.3566037735849,1.0,2.3801882112299286,103.0,164.5,238.75
dm_299_a_13,2,1800,317,20.0585068271871,53.85164807134504,0.7746855743554808,229.39696961967,0.7259397772774366,0.27470135196096473,3.640316994661536,0.25219473264166004,51.92840531750062,32.83675212076007,0.7952022574959716,1.3214089662975024,0.1493827547104466,1280402.0,34495956.0,0.000551955147766936,1.3701098318801581e-05,2933.4833333333336,39.05833333333334,0.059074812872574586,0.0043055555555555555,0.06561673228343176,0.6672467995240883,255.0,159.84177215189874,4.0,1.5858629013205998,106.0,148.0,232.0
dm_299_a_14,2,1496,349,21.079862454783044,45.5411901469428,0.8212003391102495,200.12489168102786,0.5734237583983607,0.3309150624410201,3.021923488835546,0.3418217433888345,42.85658300837232,24.45568028175654,0.7554071711710407,1.3930480075379503,0.20495699083209834,1169194.0,30320780.0,0.00044903535843889036,8.21185732346004e-06,1904.3020833333335,32.89930555555556,0.054039971223385164,0.003689236111111111,0.06073908223797188,0.7551190027944892,255.0,138.79656160458453,2.0,1.6320597054526333,92.0,122.0,177.0
dm_299_a_15,2,870,301,19.576646877473273,39.05124837953327,0.7166942827996268,177.8528137423857,0.5908731353567631,0.3458019511643775,2.891828680066205,0.38491048593350385,35.75511507737251,24.935169799374503,0.8350972910687795,1.7783132441706453,0.3249067819960425,864084.0,17179746.0,6.0851699678534055e-05,6.086848595349996e-07,3393.391836734694,39.457142857142856,0.12239410467784924,0.006780508121615993,0.08234384082380414,0.5114492892256272,255.0,190.40863787375415,9.0,2.4667959898302123,135.0,208.0,248.0
dm_299_a_16,2,2940,532,25.977239243415305,70.06425622241343,0.8375834101465016,306.6162697096763,0.5785212636031629,0.2661629927365936,3.7570963180055736,0.2522608281770585,62.581853506065805,34.18905887889833,0.7391275022222209,1.3217556426048733,0.09816162845129638,2334696.0,88383506.0,0.00044139913652751583,8.440679986989697e-06,2994.5281690140846,41.75352112676056,0.03067708002139756,0.002391500804514096,0.04890297337089122,0.6032384577369524,255.0,136.16415094339624,4.0,2.025114065261614,91.25,126.5,178.0
dm_299_a_17,2,1188,246,17.66192765414112,39.395431207184416,0.6669869857939383,157.19595949289334,0.641616161195483,0.35297715250112804,2.833044555190592,0.3293010752688172,34.632090047240304,25.803309389391064,0.8631740070360642,1.34850468982832,0.20281059458988163,728635.0,16535373.0,0.0004236106673254504,1.0960372197697875e-05,3444.040816326531,43.70408163265306,0.03489161872666241,0.005206164098292377,0.07215375318230076,0.5244947567959198,254.0,144.0530612244898,2.0,1.8447250793796373,100.0,140.0,192.0
