ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
med_control_c1_0,0,3604.0,327.0,20.404639941160397,68.11754546370561,0.7181407032725723,231.71067811865476,0.7085953459286078,0.27665132853941404,3.61465822441381,0.1759010220548682,65.28193376022811,45.429562632283606,0.8342049693881766,1.1575102913357307,0.21193572061269625
med_control_c1_1,0,4087.0,400.0,22.42609239636699,71.8679344353238,0.7878804117420412,278.2609306503489,0.7044580522793643,0.2531927387595838,3.9495603424454373,0.21066666666666667,64.44883991691074,39.68941751952456,0.7847472643556378,1.1846807217802795,0.20873107278908976
med_control_c1_10,0,3894.0,493.0,25.05408341078227,69.26037828369117,0.5775773352840972,295.8944443027283,0.6001915705937694,0.2660060906895971,3.7593124180261777,0.22058165548098435,57.596139405885964,47.017800536540825,0.9035131286169866,1.2354923757103364,0.24401799821680187
med_control_c1_2,0,3195.0,675.0,28.14169498849121,74.33034373659252,0.8836435546006884,395.11374439273465,0.6352311003098627,0.22375769886539626,4.469119968030956,0.36652916912197997,73.33438595862792,34.332248280816394,0.6842224068582645,1.2898011454137865,0.21685912002993807
med_control_c1_3,0,440.0,126.0,12.666024736934256,27.202941017470888,0.7891609633025415,75.24873734152916,0.5972122011232474,0.5287994412868195,1.8910761281565016,0.4359861591695502,24.560638992297005,15.084811245245112,0.7837004737830174,0.4490788507192925,0.052869216562488996
med_control_c1_4,0,3381.0,406.0,22.736210219877808,81.83520025025906,0.8646320936030927,279.6101730552664,0.6886950075252867,0.25545533703855333,3.9145786171188113,0.18362731795567616,87.12878315765977,43.77398474695621,0.7088057251545072,1.1475628215301121,0.21505663073530656
med_control_c1_5,0,4745.0,647.0,28.568278705151968,91.40021881811882,0.7403263434731442,378.97160876900364,0.5912193584539839,0.2368248502766254,4.2225298520486385,0.21316927169936814,67.66189983706175,45.485553272183,0.8199070994069947,1.1736657366128684,0.2450379711550611
med_control_c1_6,0,4422.0,595.0,27.151532118863187,87.04596486914255,0.8184187323889502,398.97160876900364,0.6890701360431841,0.21379730277427908,4.677327482731485,0.22661448140900195,74.41207971723111,42.75883980034864,0.7580384502187426,1.3969044993323678,0.27819202942549576
med_control_c1_7,0,4599.0,758.0,28.856518540128786,77.10382610480494,0.7805180937586199,449.2853172679885,0.6869806074434075,0.20177696258827965,4.955967158849906,0.21520236920039487,74.17317206081839,46.3681116672972,0.7906536473454444,1.4520323367454326,0.23909819290775874
med_control_c1_8,0,4088.0,531.0,26.001734523957655,76.84399781375251,0.6799245054846087,370.7289680818844,0.6981713146551495,0.22034117965935415,4.538416293976426,0.20839874411302983,70.61724183342227,51.78236076789422,0.856318935644322,1.1708500334414766,0.15188385956799777
med_control_c1_9,0,2793.0,413.0,22.93137440223813,62.289646009589745,0.8557780983756941,289.8883476483185,0.7019088320782529,0.24851304974212277,4.023933556156028,0.23202247191011235,64.4111362338688,33.32265460430738,0.7192656424825004,1.1599285209323706,0.15668905197105953
med_control_c3_0,0,2128.0,211.0,16.39065416446578,67.11929677819934,0.988773272055823,132.11879502661796,0.6261554266664359,0.3897459002728748,2.5657742629232656,0.4153543307086614,65.7875207170779,9.83020911203626,0.3865535074966232,0.9772413751289799,0.22764843586741418
med_control_c3_1,0,2448.0,250.0,17.841241161527712,57.706152185014034,0.8402690766160841,192.4619407771256,0.7698477631085023,0.2912259532334556,3.433759899820362,0.17409470752089137,57.207848184823206,31.016356363412836,0.7363216711664567,1.2435680867270367,0.2213034455151702
med_control_c3_2,0,2000.0,239.0,17.44431859350499,60.30754513325841,0.9320074387246154,159.39696961967,0.6669329272789539,0.3438142097117528,2.9085476159882417,0.2743972445464983,54.794457883951644,19.85965649141906,0.6020291898739512,1.125532265471117,0.2352903662621
med_control_c3_3,0,2508.0,309.0,19.83509564693766,74.70609078247904,0.9765060844825095,214.5096679918781,0.6942060452811589,0.2904940898516033,3.4424108267085307,0.373639661426844,74.7297676225681,16.103504944371277,0.4642088218827004,1.1599731715667756,0.24239243615265885
med_control_c3_4,0,2068.0,323.0,20.279456919490165,60.8276253029822,0.7645929927142316,204.30256121069155,0.632515669382946,0.31184040229118254,3.2067685670384845,0.24377358490566037,54.07605676188391,34.852744574529076,0.802815934930202,1.282003992174604,0.34438896440624955
med_control_c3_5,0,2200.0,295.0,19.38054864282415,55.44366510251645,0.9154739554167259,200.71067811865476,0.6803751800632365,0.303351021527823,3.2965110681464482,0.24748322147651006,57.03330913385922,22.948905069705578,0.6343321150242924,1.2346510822801617,0.26339994191782945
med_control_c5_0,0,2345.0,270.0,18.5411616971131,73.40980860893181,0.9114146131998169,228.14823227814082,0.844993452882003,0.2553111053942269,3.9167900607217847,0.20179372197309417,71.22200841265479,29.30709082350917,0.6414742784991624,1.1644223813626366,0.23384657443678394
med_control_c5_1,0,3055.0,317.0,20.090219901261573,71.21797525905943,0.9405829334737212,202.87615433949867,0.6399878685788601,0.3111025416283666,3.2143742534722484,0.22090592334494774,74.746082881349,25.381082757513422,0.5827212470600059,1.2036966422577025,0.2401517870330471
med_control_c5_2,0,4830.0,352.0,21.17026971360491,94.11163583744573,0.9474860021814068,221.1604255869606,0.6282966635993199,0.30072452442728953,3.3253024571389234,0.176088044022011,98.81502543895581,31.600772554020097,0.565506181662839,1.0475985310184843,0.2078237366253264
med_control_c5_3,0,3654.0,349.0,20.958712816717327,71.61005515987263,0.8888951751631262,261.9827560572969,0.7593703074124548,0.2513285194972796,3.978856048649998,0.20658682634730538,72.08504062915371,33.022924812256335,0.676838717806344,1.3840381620198652,0.3978195547483723
med_control_c5_4,0,2142.0,272.0,18.609705966725112,66.64833081180653,0.9153064652723945,195.4619407771256,0.7186100763864911,0.2991074135357795,3.3432805565696184,0.23247863247863249,62.388311613622534,25.12739688072625,0.6346322435084382,1.1366773880984757,0.2817919416717618
med_control_c5_5,0,4095.0,388.0,22.22649192646566,89.1403387922662,0.8495411312472165,292.13098833543773,0.7529149183903034,0.23902491190383193,4.1836643387294075,0.1642675698560542,86.4401126232358,45.59909434143798,0.726307362389871,1.2003646800947876,0.24672394094654065
med_control_c5_6,0,3567.0,299.0,19.511499785403828,94.54099639838793,0.9409689782952007,251.49747468305833,0.8411286778697603,0.24372882655617642,4.102920504438209,0.14272076372315035,90.04621179425624,30.479995188851177,0.5818013485794195,0.9937188639952416,0.15473628040813328
med_control_c5_7,0,3744.0,393.0,22.36924542940416,87.09190547921202,0.9459347855097455,285.5096679918781,0.7264877048139391,0.24613897526357073,4.062745442606882,0.21510673234811165,79.31757538096339,25.727200785681468,0.5695233742097059,1.099904232035376,0.20359485977600536
med_control_c7_0,0,1008.0,195.0,15.756957549709801,44.94441010848846,0.8480291663882433,137.11879502661796,0.70317330782881,0.36101500214821064,2.769967990386896,0.2927927927927928,39.83277799153763,21.10936305033261,0.7279763437028083,0.9362283249103389,0.08186928857532325
