ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity,Mom2,Mom3,MomH2,MomH3,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Corralation,Intensity_Max,Intensity_Mean,Intesinty_Min,Shannon_Entropy,quartiles_25,quartiles_50,quartiles_75
pc_299_c_10,2,2450,298,19.47884453275087,64.03124237432849,0.9741186563823784,190.43250352560273,0.6390352467302105,0.32134532577985314,3.111917055501466,0.32112068965517243,67.79263720406038,15.32366201868665,0.4754337607274269,1.1129643488178005,0.20962997742345774,1008818.0,34064964.0,0.002861948048792344,9.530935768597188e-05,2212.26406926407,35.476190476190474,0.032869415283364116,0.004403965442926483,0.06636237972621599,0.42377617457090844,245.0,117.5503355704698,1.0,0.8471289864890293,92.0,116.5,143.75
pc_299_c_11,2,3760,380,21.996159369293583,80.09993757800315,0.9102619892537409,251.3319984622144,0.6613999959531958,0.274946974935832,3.637064929459156,0.1970954356846473,73.93947083704403,30.613361805525,0.6434537600807911,1.184859944798231,0.13031326517142774,1361502.0,43031758.0,0.00391460941272848,0.00031291761568547744,2176.7313915857603,34.63430420711975,0.032107554586281756,0.003257192530451085,0.057071819056790936,0.5590478116978004,237.0,122.01578947368421,2.0,0.8683267999317068,88.0,120.0,156.0
pc_299_c_12,2,3905,474,24.566553364370574,77.87810988975015,0.7898262709752922,332.5218613006978,0.7015229141364933,0.23209933708309313,4.30850002661573,0.20256410256410257,73.01736494032642,44.78378643866334,0.7831542823636768,1.1594184283798232,0.13421440109589428,2429492.0,112518632.0,0.0020344720906445013,9.1253583262668e-05,2108.8808139534885,36.37500000000001,0.03405335334153792,0.002940778799351,0.0542289479830745,0.5981847064038446,254.0,133.03586497890296,6.0,1.093032518111171,100.0,128.0,163.75
pc_299_c_13,2,4284,1502,38.77751800118501,84.8528137423857,0.8415666283532778,603.3158005400378,0.5108516516003707,0.2019227170379474,4.952389778967117,0.3881038448899113,79.66490293540741,43.03126187699307,0.7349512370664895,1.4479645439453124,0.10900134816792752,6596870.0,218633196.0,0.00014979587623458555,2.2818150632597067e-06,2477.7874396135267,33.12463768115942,0.0847887761706773,0.001882891082639035,0.043392292894464966,0.5811896310901675,255.0,188.41744284504657,1.0,2.650686879003768,152.0,199.0,239.0
pc_299_c_14,2,4514,610,27.431452220735256,75.50496672405067,0.3517520815805057,369.1370849898476,0.624597436531045,0.23345920060113023,4.28340368434877,0.22403335860500379,55.90950678486605,52.33650893801152,0.9675190937674358,1.180508885370531,0.14889146817123103,3467834.0,130765230.0,0.0005553068917363521,1.2568124905752403e-05,2393.254545454545,34.28484848484848,0.053701690818065057,0.00209366391184573,0.04575657233497424,0.49342389219391763,255.0,179.57529610829104,1.0,1.0692508434705745,151.0,186.0,223.0
pc_299_c_15,2,2574,481,24.747287144606645,78.16009211867653,0.9663242740440626,267.64570696119915,0.5564359812083143,0.2904806371545659,3.442570251138275,0.24366767983789261,86.88172452420133,22.35704939392596,0.5072744945578286,1.1409126534210456,0.09697574264388806,4439154.0,263575834.0,0.0018481475200177776,9.796203049744144e-05,3609.514745308311,43.13941018766756,0.03671076832622654,0.002824716629890246,0.05314806327506437,0.4442142326920891,255.0,180.3887733887734,2.0,1.0971123244760967,147.0,187.0,231.0
pc_299_c_16,2,792,181,15.180789096653193,36.6742416417845,0.8824513190498228,115.2193000900063,0.6365707187293166,0.41392245452355697,2.415911456533674,0.39606126914660833,38.301392429902464,18.017117875812467,0.6858598474388016,1.105148052712198,0.21337164675117778,740442.0,20731258.0,0.00360704477845992,0.00022075628541177777,2370.0266666666666,35.440000000000005,0.04090681704684085,0.006755555555555558,0.08219218670625303,0.6580607644601824,254.0,149.76243093922653,17.0,0.8644559322971916,107.0,138.0,198.0
pc_299_c_17,2,1188,211,16.351767622932517,36.6742416417845,0.5938309632449082,128.49747468305833,0.6118927365859921,0.3997790086079035,2.5013819597036,0.3265940902021773,31.47681079131695,25.325921697842997,0.8969893117377019,0.8084636915863914,0.08076588892400528,657857.0,15567281.0,0.0027352663744229025,0.00014785555568612972,2038.0243902439024,35.02439024390244,0.022596872829390942,0.006097560975609756,0.07808688094430304,0.629473185962145,254.0,142.4952380952381,2.0,1.0574118315694028,108.25,135.0,175.25
pc_299_c_18,2,3975,1217,29.811427376513585,78.44743462982075,0.8406719193906337,439.8122292025696,0.6301034802329077,0.21294396794943313,4.696071035162948,0.2907122032486464,75.40947328548796,40.83760489381631,0.7358972462953931,1.269562751331759,0.21289813991036594,4644975.0,214598483.0,0.0009124311959228772,3.352323136715255e-05,2937.0202205882356,40.575367647058826,0.030030081653056765,0.0019125756920415225,0.04373300460797912,0.5166498090090929,254.0,169.62750716332377,1.0,1.3137264741228822,133.0,171.0,221.0
pc_299_c_19,2,2880,768,30.487126261041215,82.71033792700887,0.938463971639638,358.00104602052653,0.4904123918089405,0.2675358995606397,3.7378161272645953,0.40919282511210764,77.65508354632934,26.82029123501282,0.587687967703024,1.409997083981396,0.12307528239450788,2754604.0,59598724.0,0.000289996718049657,5.919791257178624e-06,1898.1501547987618,29.35758513931889,0.09154592636810108,0.0026215146315981177,0.051200728819013094,0.5978149297718727,255.0,200.15205479452055,2.0,2.059229527461581,169.0,214.0,244.0
pc_299_c_2,2,2800,567,26.678472698169138,64.00781202322104,0.5086898324129309,341.237590053236,0.6104429160165223,0.2456144817588487,4.071421167184386,0.23262588431127756,52.78208131742031,45.44272530511594,0.9278738362055445,1.3442709956174936,0.2017620477933846,2448658.0,84787234.0,0.0006558226444932834,1.6068543051958713e-05,2539.4192139737993,38.393013100436676,0.02691288339609541,0.0022215442115901675,0.04713326014175306,0.6432892146444998,254.0,145.0500894454383,1.0,1.308096355080355,99.5,136.0,196.0
