ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity,,,,,,,,,,,,,,
ac_299_a_0,2,1596,282,18.948708441878455,58.05170109479997,0.919181794,205.36143571373725,0.7282320415380753,0.2898748882872081,3.449764158284728,0.275390625,57.818831008137664,22.770992865861714,0.6275615546798669,1.0834454973910153,0.14083369097952436,,,,,,,,,,,,,,
ac_299_a_1,2,1720,206,16.195287778099022,50.24937810560445,0.8682249599118609,148.31980515339464,0.7199990541426924,0.34303576015238557,2.9151479704500005,0.2224622030237581,52.11191754,25.856409516686274,0.7043938925597542,1.0590422609682324,0.10323768580037439,,,,,,,,,,,,,,
ac_299_a_2,2,4088,383,22.082815618339236,88.48163651289458,0.9737258986703495,266.0954544,0.6947661995548434,0.2607155070194242,3.835598470655973,0.23525798525798525,89.97723467457755,20.489907450296318,0.4772035629462348,1.2572249280789056,0.15965683996041286,,,,,,,,,,,,,,
ac_299_a_3,2,6440,850,32.09440436728413,116.1077086157504,0.9009381159308525,551.4274528917194,0.6816161346003948,0.18284825039604785,5.469015962,0.20926021727884117,97.36531446724645,42.25144361,0.6587469851592931,1.4026138537069033,0.1538790123612008,,,,,,,,,,,,,,
ac_299_a_4,2,5824,629,28.299605538565682,92.07062506576133,0.7650803901860431,421.8294731452727,0.6706350924408151,0.2107624965049062,4.744677144,0.1877051626380185,86.06833536381485,55.422394307363525,0.8024554670693028,1.2896073632866942,0.15758892544582556,,,,,,,,,,,,,,
ac_299_a_5,2,3237,377,21.909160375631842,86.97700845625813,0.9275739087870207,274.84671708797583,0.7290363848487422,0.25042925,3.9931437688304876,0.1680784663397236,79.69803503840582,29.778351856341814,0.6112607663817242,1.3723506605971612,0.15016552916939388,,,,,,,,,,,,,,
ac_299_b_0,2,2907,625,26.34227689249097,62.64982043070834,0.6877066535635615,379.9594154601839,0.6971732393764842,0.21780406063644422,4.591282628422558,0.24682971014492755,55.440606302560695,40.24925240304821,0.8520496914288758,1.3978208630771702,0.1541906847452915,,,,,,,,,,,,,,
ac_299_b_1,2,2856,686,28.944630252185586,72.18032973047436,0.8241882155783271,391.04267658086917,0.5942897820377951,0.2325378870567698,4.3003745009339855,0.36698271054099274,66.22806636,37.506012076101804,0.7525396843724099,1.5051191413062777,0.22882553419737336,,,,,,,,,,,,,,
ac_299_b_2,2,851,188,15.471555655790098,38.07886552931954,0.8747291851337099,132.3259018078045,0.7038611798287474,0.36731527935046404,2.722456854417637,0.3202725724020443,38.20458549047481,18.514403032783687,0.6961408364003523,1.1687234496908543,0.068505529,,,,,,,,,,,,,,
ac_299_b_3,2,3410,722,28.299605538565682,69.65629906907199,0.5773025635326187,450.4568901432423,0.7161476790830561,0.19736812734993464,5.066674206352453,0.2429509463113171,59.95497642060994,48.95505559253489,0.9036206681074199,1.351905348957571,0.14868375782899151,,,,,,,,,,,,,,
ac_299_b_4,2,2210,352,21.17026971360491,72.89718787443039,0.9335799413055198,264.71067811865476,0.7520189719279965,0.2512492668579231,3.980111116365891,0.20730270906949352,75.66583109011977,27.116304377368497,0.5986394687207717,1.4462899824025188,0.15800524492393975,,,,,,,,,,,,,,
ac_299_b_5,2,3534,386,22.16913314200113,81.39410298049853,0.9351657885936467,258.0954544,0.6686410736515674,0.26984739413296266,3.7057982464980452,0.22976190476190475,73.28620279566279,25.958729038609125,0.595155707,1.2619953469672296,0.21632021788183733,,,,,,,,,,,,,,
ac_299_b_6,2,3050,338,20.74499858,72.94518489934754,0.8746767504064152,220.16042558696057,0.6513622058785816,0.2960220256054319,3.3781270091466142,0.25,60.43957751907581,29.295467998682778,0.6962088028656063,1.1747516509044007,0.22891517017927857,,,,,,,,,,,,,,
ac_299_b_7,2,1890,243,17.58969042850512,63.953107821277925,0.9696926653456541,179.29036790187178,0.7378204440406246,0.30821311192442186,3.2445083006241924,0.20317725752508362,73.62625215225432,17.988949389785095,0.4942953820061888,1.1164972166194296,0.17185117785753318,,,,,,,,,,,,,,
ac_301_a_0,2,3036,600,26.582850624566497,69.87131027825369,0.8923235094695736,339.89444430272835,0.6124224221670781,0.245701245,4.069983442,0.29118572927597064,69.57351161312263,31.40523610805508,0.6718604388621476,1.3767142567931507,0.12865848577463695,,,,,,,,,,,,,,
ac_301_a_1,2,2200,235,17.29772508,59.36328831862332,0.9341506186358922,167.22539674441617,0.7115974329549625,0.32496502983043407,3.0772541910795677,0.2359437751004016,57.00458258,20.34373851005365,0.5973935063982116,1.0735707104081869,0.10872931677172966,,,,,,,,,,,,,,
ac_301_a_10,2,2508,270,18.26441241104166,60,0.8436056975485997,204.29036790187178,0.7797342286330984,0.28087150873517513,3.5603468806900893,0.17994505494505494,57.847341576239174,31.06189089,0.7327776964579735,1.2379633820300227,0.16003980014541114,,,,,,,,,,,,,,
ac_301_a_11,2,3132,281,18.91508160359296,66.24198064671678,0.8099658162532807,208.53300858899107,0.742110351,0.2849595937352058,3.5092694613020616,0.16384839650145772,63.06033340437074,36.98344079750605,0.7658179218938614,1.2250958458969892,0.21321185822784833,,,,,,,,,,,,,,
ac_301_a_12,2,2350,417,23.04215463350949,57.14017850864661,0.6389817083652212,266.12489168102786,0.638189189,0.27201162304756354,3.6763134927699084,0.25226860254083483,51.34348678149522,39.494535954333415,0.87705298,1.4906217408244922,0.2498976832357813,,,,,,,,,,,,,,
